"flightNumber","departureDate","requestDate","origin","destination","pmin"
"LX316",2016-06-15,2016-06-06,"ZRH","LHR",175.52
"LX316",2016-06-15,2016-06-07,"ZRH","LHR",175.52
"LX316",2016-06-15,2016-06-08,"ZRH","LHR",195
"LX316",2016-06-15,2016-06-09,"ZRH","LHR",208.4
"LX316",2016-06-15,2016-06-10,"ZRH","LHR",231.57
"LX316",2016-06-15,2016-06-11,"ZRH","LHR",213.3
"LX316",2016-06-15,2016-06-12,"ZRH","LHR",237.4
"LX316",2016-06-15,2016-06-13,"ZRH","LHR",237.4
"LX316",2016-06-15,2016-06-14,"ZRH","LHR",247.3
"LX316",2016-06-16,2016-05-26,"ZRH","LHR",208.9
"LX316",2016-06-16,2016-05-27,"ZRH","LHR",208.9
"LX316",2016-06-16,2016-05-28,"ZRH","LHR",208.9
"LX316",2016-06-16,2016-05-29,"ZRH","LHR",208.9
"LX316",2016-06-16,2016-05-30,"ZRH","LHR",208.9
"LX316",2016-06-16,2016-05-31,"ZRH","LHR",208.4
"LX316",2016-06-16,2016-06-01,"ZRH","LHR",190.42
"LX316",2016-06-16,2016-06-02,"ZRH","LHR",175.52
"LX316",2016-06-16,2016-06-03,"ZRH","LHR",175.52
"LX316",2016-06-16,2016-06-04,"ZRH","LHR",175.52
"LX316",2016-06-16,2016-06-05,"ZRH","LHR",175.52
"LX316",2016-06-16,2016-06-06,"ZRH","LHR",175.52
"LX316",2016-06-16,2016-06-07,"ZRH","LHR",175.52
"LX316",2016-06-16,2016-06-08,"ZRH","LHR",175.52
"LX316",2016-06-16,2016-06-09,"ZRH","LHR",195
"LX316",2016-06-16,2016-06-10,"ZRH","LHR",208.4
"LX316",2016-06-16,2016-06-11,"ZRH","LHR",216.18
"LX316",2016-06-16,2016-06-12,"ZRH","LHR",230.56
"LX316",2016-06-16,2016-06-13,"ZRH","LHR",237.4
"LX316",2016-06-16,2016-06-14,"ZRH","LHR",237.4
"LX316",2016-06-16,2016-06-15,"ZRH","LHR",256.71
"LX316",2016-06-17,2016-05-27,"ZRH","LHR",208.9
"LX316",2016-06-17,2016-05-28,"ZRH","LHR",208.9
"LX316",2016-06-17,2016-05-29,"ZRH","LHR",208.9
"LX316",2016-06-17,2016-05-30,"ZRH","LHR",208.9
"LX316",2016-06-17,2016-05-31,"ZRH","LHR",234.18
"LX316",2016-06-17,2016-06-01,"ZRH","LHR",213.3
"LX316",2016-06-17,2016-06-02,"ZRH","LHR",237.4
"LX316",2016-06-17,2016-06-03,"ZRH","LHR",237.4
"LX316",2016-06-17,2016-06-04,"ZRH","LHR",237.4
"LX316",2016-06-17,2016-06-05,"ZRH","LHR",237.4
"LX316",2016-06-17,2016-06-06,"ZRH","LHR",237.4
"LX316",2016-06-17,2016-06-07,"ZRH","LHR",237.4
"LX316",2016-06-17,2016-06-08,"ZRH","LHR",237.4
"LX316",2016-06-17,2016-06-09,"ZRH","LHR",237.4
"LX316",2016-06-17,2016-06-10,"ZRH","LHR",243.3
"LX316",2016-06-17,2016-06-11,"ZRH","LHR",253.67
"LX316",2016-06-17,2016-06-12,"ZRH","LHR",256.71
"LX316",2016-06-17,2016-06-13,"ZRH","LHR",256.71
"LX316",2016-06-17,2016-06-14,"ZRH","LHR",256.71
"LX316",2016-06-17,2016-06-15,"ZRH","LHR",256.71
"LX316",2016-06-17,2016-06-16,"ZRH","LHR",256.71
"LX316",2016-06-18,2016-05-28,"ZRH","LHR",135.74
"LX316",2016-06-18,2016-05-29,"ZRH","LHR",111
"LX316",2016-06-18,2016-05-30,"ZRH","LHR",111
"LX316",2016-06-18,2016-05-31,"ZRH","LHR",111
"LX316",2016-06-18,2016-06-01,"ZRH","LHR",111
"LX316",2016-06-18,2016-06-02,"ZRH","LHR",152.28
"LX316",2016-06-18,2016-06-03,"ZRH","LHR",125.3
"LX316",2016-06-18,2016-06-04,"ZRH","LHR",111
"LX316",2016-06-18,2016-06-05,"ZRH","LHR",111
"LX316",2016-06-18,2016-06-06,"ZRH","LHR",111
"LX316",2016-06-18,2016-06-07,"ZRH","LHR",111
"LX316",2016-06-18,2016-06-08,"ZRH","LHR",111
"LX316",2016-06-18,2016-06-09,"ZRH","LHR",111
"LX316",2016-06-18,2016-06-10,"ZRH","LHR",111
"LX316",2016-06-18,2016-06-11,"ZRH","LHR",111
"LX316",2016-06-18,2016-06-12,"ZRH","LHR",111
"LX316",2016-06-18,2016-06-13,"ZRH","LHR",123.12
"LX316",2016-06-18,2016-06-14,"ZRH","LHR",152.28
"LX316",2016-06-18,2016-06-15,"ZRH","LHR",175.52
"LX316",2016-06-18,2016-06-16,"ZRH","LHR",208.4
"LX316",2016-06-18,2016-06-17,"ZRH","LHR",237.4
"LX316",2016-06-19,2016-05-29,"ZRH","LHR",90
"LX316",2016-06-19,2016-05-30,"ZRH","LHR",111
"LX316",2016-06-19,2016-05-31,"ZRH","LHR",111
"LX316",2016-06-19,2016-06-01,"ZRH","LHR",111
"LX316",2016-06-19,2016-06-02,"ZRH","LHR",111
"LX316",2016-06-19,2016-06-03,"ZRH","LHR",111
"LX316",2016-06-19,2016-06-04,"ZRH","LHR",111
"LX316",2016-06-19,2016-06-05,"ZRH","LHR",111
"LX316",2016-06-19,2016-06-06,"ZRH","LHR",111
"LX316",2016-06-19,2016-06-07,"ZRH","LHR",111
"LX316",2016-06-19,2016-06-08,"ZRH","LHR",111
"LX316",2016-06-19,2016-06-09,"ZRH","LHR",111
"LX316",2016-06-19,2016-06-10,"ZRH","LHR",111
"LX316",2016-06-19,2016-06-11,"ZRH","LHR",111
"LX316",2016-06-19,2016-06-12,"ZRH","LHR",123.12
"LX316",2016-06-19,2016-06-13,"ZRH","LHR",152.28
"LX316",2016-06-19,2016-06-14,"ZRH","LHR",152.28
"LX316",2016-06-19,2016-06-15,"ZRH","LHR",152.28
"LX316",2016-06-19,2016-06-16,"ZRH","LHR",154.83
"LX316",2016-06-19,2016-06-17,"ZRH","LHR",175.52
"LX316",2016-06-19,2016-06-18,"ZRH","LHR",180.4
"LX316",2016-06-20,2016-05-30,"ZRH","LHR",208.9
"LX316",2016-06-20,2016-05-31,"ZRH","LHR",208.9
